recipe,ingredient,quantity
Cơm Gạo Lức Trộn Rau Củ,"Cà rốt, đậu cô ve",50g mỗi loại
Cơm Gạo Lức Trộn Rau Củ,Đậu hũ,1 miếng
Cơm Gạo Lức Trộn Rau Củ,Nấm rơm,50g
Cơm Gạo Lức Trộn Rau Củ,Boa-rô băm,1 cây
Cơm Gạo Lức Trộn Rau Củ,"Rau húng quế cắt nhỏ, ớt hiểm cắt lát",
Cơm Gạo Lức Trộn Rau Củ,"Ớt bột, mè rang, tiêu, đường",
Cơm Gạo Lức Trộn Rau Củ,"Dầu mè, dầu ăn, sữa tươi không đường ½ chén",
Hồ Lô Cá,Cá thác lác,150g
Hồ Lô Cá,Trứng cút,10 quả
Hồ Lô Cá,Trứng gà,2 quả
Hồ Lô Cá,Bột chiên xù,
Hồ Lô Cá,Hành tím băm,
Hồ Lô Cá,Ngò rí,
Hồ Lô Cá,"Tiêu, tương ớt, dầu ăn",
Đậu Mơ Kẹp Phô Mai Chiên,Đậu phụ mơ (Bắc),5 miếng
Đậu Mơ Kẹp Phô Mai Chiên,Phomai cứng,100g
Đậu Mơ Kẹp Phô Mai Chiên,"Húng lủi, húng quế, tía tô, lá chanh (Bắc)",mỗi loại 10g
Đậu Mơ Kẹp Phô Mai Chiên,Ớt băm,1m
Đậu Mơ Kẹp Phô Mai Chiên,"Dầu ăn, tương ớt",
Cá Bớp Kho Thịt Ba Rọi,Cá bớp cắt khoanh,400g
Cá Bớp Kho Thịt Ba Rọi,Thịt ba rọi,200g
Cá Bớp Kho Thịt Ba Rọi,Hành tỏi băm,
Cá Bớp Kho Thịt Ba Rọi,"Ớt hiểm sừng, hành lá",
Cá Bớp Kho Thịt Ba Rọi,"Nước mắm, dầu điều, đường, tiêu",
Cá Bớp Kho Thịt Ba Rọi,Ăn kèm,ngò rí
Bánh Rán Sô-Cô-La Xốt Táo,Dâu tây,5 quả
Bánh Rán Sô-Cô-La Xốt Táo,Táo đỏ,1 quả
Bánh Rán Sô-Cô-La Xốt Táo,Húng lủi,
Bánh Rán Sô-Cô-La Xốt Táo,"Chanh, mật ong, đường",
Trứng Cuộn Kiểu Nhật,Trứng gà ta,8 quả
Trứng Cuộn Kiểu Nhật,Cá ngừ ngâm dầu,1/2 hộp
Trứng Cuộn Kiểu Nhật,Hành tây,30g
Trứng Cuộn Kiểu Nhật,Ớt chuông xanh,30g
Trứng Cuộn Kiểu Nhật,Ớt chuông đỏ,30g
Trứng Cuộn Kiểu Nhật,Dầu ăn,
Mực Xào Sả Ớt,Mực ống làm sạch,500g
Mực Xào Sả Ớt,Sả non bào mỏng xéo,5 cây
Mực Xào Sả Ớt,Hành lá,3 cây
Mực Xào Sả Ớt,"Ớt hiểm, tỏi băm",
Mực Xào Sả Ớt,Gia vị,"Muối, đường, dầu ăn, bột cà ri"
Canh Chua Sườn,Sườn non,200g
Canh Chua Sườn,Cà chua,2 quả
Canh Chua Sườn,Rau muống cọng,200g
Canh Chua Sườn,Bắp cải trắng,100g
Canh Chua Sườn,Hành tỏi băm,2M
Canh Chua Sườn,Tỏi phi dầu,1M
Canh Chua Sườn,"Ngò gai, ngò om",
Canh Chua Sườn,Gia vị,dầu ăn
Cốt Lết Chiên Sả Ớt,Sườn cốt lết,500g
Cốt Lết Chiên Sả Ớt,Bắp cải bào,50g
Cốt Lết Chiên Sả Ớt,Sả bào,50g
Cốt Lết Chiên Sả Ớt,Ớt hiểm,2 quả
Cốt Lết Chiên Sả Ớt,Hành tím,6 củ
Cốt Lết Chiên Sả Ớt,Tỏi,5 tép
Cốt Lết Chiên Sả Ớt,Gia vị,"Tiêu, dầu ăn, sữa đặc, nước soda"
Bánh Gạo Xào Cay,Bánh gạo,300g
Bánh Gạo Xào Cay,Gà má đùi,150g
Bánh Gạo Xào Cay,Nấm đông cô tươi,50g
Bánh Gạo Xào Cay,Bắp cải,100g
Bánh Gạo Xào Cay,Hành tây,1/2 củ
Bánh Gạo Xào Cay,Boa-rô,1 cây
Bánh Gạo Xào Cay,"Tỏi băm, mè rang",
Bánh Gạo Xào Cay,"Đường, tương ớt Hàn Quốc, dầu ăn",
Cá Nục Xốt Thơm,Cá nục chuối,500g
Cá Nục Xốt Thơm,Thơm,1/2 trái
Cá Nục Xốt Thơm,Hành lá,3 cây
Cá Nục Xốt Thơm,Ngò rí,3 cây
Cá Nục Xốt Thơm,Hành tím băm,1M
Cá Nục Xốt Thơm,Ớt băm,1m
Cá Nục Xốt Thơm,"Muối, đường, dầu ăn, bột năng",
Đậu Hủ Non Xốt Cay,Đậu hũ non,2 cây
Đậu Hủ Non Xốt Cay,Nấm đông cô,4 tai
Đậu Hủ Non Xốt Cay,Cà chua,1 trái
Đậu Hủ Non Xốt Cay,Cà rốt,1/3 củ
Đậu Hủ Non Xốt Cay,Sườn chay,20g
Đậu Hủ Non Xốt Cay,Hành tây,1/2 củ
Đậu Hủ Non Xốt Cay,Poa-rô,1 cây
Đậu Hủ Non Xốt Cay,Nấm mèo xắt nhuyễn,2 tai
Đậu Hủ Non Xốt Cay,Nước dừa,1 chén
Đậu Hủ Non Xốt Cay,Sa tế,2M
Đậu Hủ Non Xốt Cay,"Dầu hào chay, dầu mè, tương cà, bột năng, đường, dầu ăn",
Hủ Tiếu Xào Sò Huyết,Hủ tiếu sợi lớn,500g
Hủ Tiếu Xào Sò Huyết,Sò huyết,500g
Hủ Tiếu Xào Sò Huyết,Lạp xưởng,1 cây
Hủ Tiếu Xào Sò Huyết,Giá,150g
Hủ Tiếu Xào Sò Huyết,Hẹ,60g
Hủ Tiếu Xào Sò Huyết,Trứng gà,2 quả
Hủ Tiếu Xào Sò Huyết,Tỏi băm,
Hủ Tiếu Xào Sò Huyết,Rau nêm,"Hành lá, ngò rí, ớt cắt sợi"
Hủ Tiếu Xào Sò Huyết,Gia vị,"Hắc xì dầu, nước mắm, dầu ăn"
Smoothies Trà Sữa Dâu,Blendy trà sữa dâu,4 gói
Smoothies Trà Sữa Dâu,Sữa tươi không đường,120g
Smoothies Trà Sữa Dâu,Kem sữa tươi,"100ml (lấy 50ml đánh bông, trang trí trên miệng ly)"
Smoothies Trà Sữa Dâu,Dâu tây,8 -12 quả
Smoothies Trà Sữa Dâu,Đá viên,80g
Smoothies Trà Sữa Dâu,RAU NÊM,Rau húng lủi
Bánh Mì Nướng Tỏi,Bánh mì baguette,2 ổ
Bánh Mì Nướng Tỏi,Ngò rí,2 cây
Bánh Mì Nướng Tỏi,Tỏi,5 tép
Bánh Mì Nướng Tỏi,RAU NÊM,ngò rí
Bánh Mì Nướng Tỏi,Gia vị,"Tiêu, ớt bột"
Cơm Chiên Dương Châu,Xá xíu,80g
Cơm Chiên Dương Châu,Đậu Hà Lan,50g
Cơm Chiên Dương Châu,Cơm trắng,4 chén
Cơm Chiên Dương Châu,Lạp xưởng,1 cây
Cơm Chiên Dương Châu,Cà rốt,80g
Cơm Chiên Dương Châu,Trứng gà,2 quả
Cơm Chiên Dương Châu,Tôm khô,20g
Cơm Chiên Dương Châu,"Tỏi băm, hành lá, ngò rí,",
Cơm Chiên Dương Châu,"Muối, tiêu, đường, dầu ăn",
Cơm Chiên Dương Châu,"Dầu điều, xốt cà chua",
Bánh Rán Nhân Khoai Lang,Khoai lang vàng luộc chín,200g
Bánh Rán Nhân Khoai Lang,Bơ lạt,20g
Bánh Rán Nhân Khoai Lang,"Dâu tây, lá húng lủi",
Bánh Rán Nhân Khoai Lang,"Nước cốt dừa lon, sữa đặc có đường",
Chả Lụa Chay Kho Thơm,Chả lụa chay,200g
Chả Lụa Chay Kho Thơm,Tàu hũ ky lá,2 lá to
Chả Lụa Chay Kho Thơm,Nước dừa tươi,1 trái
Chả Lụa Chay Kho Thơm,Thơm,1/4 trái
Chả Lụa Chay Kho Thơm,Ớt hiểm,2 trái
Chả Lụa Chay Kho Thơm,Ớt sừng,2 trái
Chả Lụa Chay Kho Thơm,Bông hẹ chần,20 cọng
Chả Lụa Chay Kho Thơm,Boa-rô,
Chả Lụa Chay Kho Thơm,RAU NÊM,Ngò
Chả Lụa Chay Kho Thơm,"Tiêu, đường, dầu ăn",
Lẩu Xí Quách Kim Chi,Xương heo (xương cố hoặc xương ống),400g
Lẩu Xí Quách Kim Chi,Đậu hũ chiên,1 miếng
Lẩu Xí Quách Kim Chi,Nấm rơm cắt chữ thập trên đầu,100g
Lẩu Xí Quách Kim Chi,Hành tím,10 củ
Lẩu Xí Quách Kim Chi,Ớt hiểm,2 trái
Lẩu Xí Quách Kim Chi,Sữa tươi không đường,1 chén
Lẩu Xí Quách Kim Chi,Lá quế,3 nhánh
Lẩu Xí Quách Kim Chi,RAU NÊM,"Cải hảo, tần ô, nấm linh chi, nấm kim châm, kim chi"
Lẩu Xí Quách Kim Chi,Gia vị,"Dầu ăn, nước mắm"
Cánh Gà Chiên Nước Mắm,Cánh gà,4 cánh khoàng 600g
Cánh Gà Chiên Nước Mắm,Dưa leo,1 trái
Cánh Gà Chiên Nước Mắm,Cà chua,2 quả
Cánh Gà Chiên Nước Mắm,Xà lách,2 cây
Cánh Gà Chiên Nước Mắm,Ngò rí,
Cánh Gà Chiên Nước Mắm,Hành tỏi băm,
Cánh Gà Chiên Nước Mắm,Nước cốt tỏi,
Cánh Gà Chiên Nước Mắm,Gia vị,"đường, tiêu, nước mắm, dầu ăn"
Sườn Non Kho Củ Sen,Sườn non,300g
Sườn Non Kho Củ Sen,Củ sen,150g
Sườn Non Kho Củ Sen,Hành tím băm,1M
Sườn Non Kho Củ Sen,Tỏi băm,1M
Sườn Non Kho Củ Sen,Ớt sừng cắt khúc,1 trái
Sườn Non Kho Củ Sen,Hành lá,2 cây
Sườn Non Kho Củ Sen,"Tiêu, đường, tương ớt, dầu ăn",
Bún Gạo Xào Lòng Nghệ,Bún gạo khô,120g
Bún Gạo Xào Lòng Nghệ,Lòng non,200g
Bún Gạo Xào Lòng Nghệ,Hẹ lá,40g
Bún Gạo Xào Lòng Nghệ,Hành tây,50g
Bún Gạo Xào Lòng Nghệ,Nấm hương luộc chín,5 tai
Bún Gạo Xào Lòng Nghệ,Nghệ,1 củ nhỏ
Bún Gạo Xào Lòng Nghệ,Hành tỏi băm,
Bún Gạo Xào Lòng Nghệ,"Dầu ăn, đường, tiêu, muối",
Bún Gạo Xào Lòng Nghệ,Ngò rí,
Măng Trộn Tôm Thịt,Măng tươi luộc,300g.
Măng Trộn Tôm Thịt,Tôm đất,100g.
Măng Trộn Tôm Thịt,Thịt ba rọi,100g.
Măng Trộn Tôm Thịt,Bánh tráng mè chiên.,
Măng Trộn Tôm Thịt,"Mè rang, đậu phộng rang.",
Măng Trộn Tôm Thịt,Hành tây,1/2 củ
Măng Trộn Tôm Thịt,Hành tím,3 củ
Măng Trộn Tôm Thịt,Tỏi băm,
Măng Trộn Tôm Thịt,Ớt băm,
Măng Trộn Tôm Thịt,RAU NÊM,"rau răm, ớt sừng"
Măng Trộn Tôm Thịt,Gia vị,"Đường, muối, tiêu, nước mắm"
Cá Cuộn Tôm Trứng Cút,Cá chẽm phi lê,200g
Cá Cuộn Tôm Trứng Cút,Tôm sú bóc vỏ,100g
Cá Cuộn Tôm Trứng Cút,Trứng cút,20 quả
Cá Cuộn Tôm Trứng Cút,Tiêu xanh,3 nhánh
Cá Cuộn Tôm Trứng Cút,Tỏi băm nhỏ,
Cá Cuộn Tôm Trứng Cút,"Xà lách, rau thơm",
Cá Cuộn Tôm Trứng Cút,"Tiêu, dầu ăn",
Chân Giò Om Sấu,Chân giò heo,1 kg
Chân Giò Om Sấu,Sấu,10 trái
Chân Giò Om Sấu,Sả cây,6 cây
Chân Giò Om Sấu,Nước dùng,"1,5L"
Chân Giò Om Sấu,Bún tươi,500g
Chân Giò Om Sấu,RAU NÊM,"Hành lá, ớt cắt khoanh"
Chân Giò Om Sấu,Gia vị,"Hành tỏi băm, nước mắm, đường, dầu ăn, giấm bỗng, nước nghệ"
Bánh Nếp Nhân Sò Điệp,Bột nếp lọc,400g
Bánh Nếp Nhân Sò Điệp,Màu lá cẩm,1/2 chén
Bánh Nếp Nhân Sò Điệp,Màu hoa đậu biếc,1/2 chén
Bánh Nếp Nhân Sò Điệp,Đậu xanh cà,100g
Bánh Nếp Nhân Sò Điệp,Giò sống,150g
Bánh Nếp Nhân Sò Điệp,Tôm đông lạnh,100g
Bánh Nếp Nhân Sò Điệp,Sò điệp khô,30g
Bánh Nếp Nhân Sò Điệp,Lá chuối tươi,1 ít
Bánh Nếp Nhân Sò Điệp,Gia vị,"tiêu, muối, đường, hành tỏi phi, hành lá cắt nhỏ, hành phi có dầu, ngò rí băm, nước cốt tắc, tỏi ớt băm"
Pancake Hạnh Nhân Đậu Đỏ,Hạnh nhân lát,30g
Pancake Hạnh Nhân Đậu Đỏ,Bột hạnh nhân,40g
Pancake Hạnh Nhân Đậu Đỏ,Đậu đỏ tươi,100g
Pancake Hạnh Nhân Đậu Đỏ,Whipping cream,100g
Pancake Hạnh Nhân Đậu Đỏ,Gia vị,"Đường, muối"
Salad Trái Thơm Mayo,Thơm,1/2 trái
Salad Trái Thơm Mayo,Thịt bò,150g
Salad Trái Thơm Mayo,Cà chua bi,50g
Salad Trái Thơm Mayo,Dưa leo trái nhỏ,50g
Salad Trái Thơm Mayo,Xà lách lá giòn (ice berg),50g
Salad Trái Thơm Mayo,Xà lách Romaine,30g
Salad Trái Thơm Mayo,Xà lách tím,30g
Salad Trái Thơm Mayo,Hành tây,30g
Salad Trái Thơm Mayo,Gia vị,"Dầu ăn, tương cà, tương ớt, tiêu, tỏi băm"
Canh Gân Bò Chua Cay,Gân bò lạng (gân lạng từ phần thăn bò),350g
Canh Gân Bò Chua Cay,Măng chua,250g
Canh Gân Bò Chua Cay,Cà chua,1 trái
Canh Gân Bò Chua Cay,Tỏi bằm,2M
Canh Gân Bò Chua Cay,Ớt hiểm,3 trái
Canh Gân Bò Chua Cay,Khóm,1/4 trái
Canh Gân Bò Chua Cay,RAU NÊM,"Ngò gai, rau quế"
Canh Gân Bò Chua Cay,Gia vị,"Dầu ăn, đường"
Gà Hấp Lá É,Gà tre,1 con
Gà Hấp Lá É,Lá é tươi,250g
Gà Hấp Lá É,Ớt hiểm xanh đỏ,30g
Gà Hấp Lá É,Sả cây đập dập,8 cây
Gà Hấp Lá É,Gia vị,"Hành tỏi băm, đường, tắc, dầu điều"
Đậu Chiên Thả Nước Tương,Đậu hủ bi chiên,16 cái
Đậu Chiên Thả Nước Tương,Trứng cút,16 quả
Đậu Chiên Thả Nước Tương,Cá thác lát,20g
Đậu Chiên Thả Nước Tương,Hành lá,2 nhánh
Đậu Chiên Thả Nước Tương,Tỏi băm,1M
Đậu Chiên Thả Nước Tương,Nấm mèo,2 tai
Đậu Chiên Thả Nước Tương,Cà rốt băm,1M
Đậu Chiên Thả Nước Tương,RAU NÊM,"Ớt hiểm cắt khoanh, hành lá"
Đậu Chiên Thả Nước Tương,Gia vị,"Dầu ăn, nước mắm, muối, tiêu, đường"
Canh Chả Tôm Chùm Ngây,Tôm đông lạnh tươi,300g
Canh Chả Tôm Chùm Ngây,Lá Chùm ngây,200g
Canh Chả Tôm Chùm Ngây,Dưa leo,1 trái
Canh Chả Tôm Chùm Ngây,Nấm rơm búp nhỏ,100g
Canh Chả Tôm Chùm Ngây,Ớt sừng băm,1m
Canh Chả Tôm Chùm Ngây,Gia vị,"Hành tím, đầu hành lá, tiêu, dầu, nước mắm"
Salad Mực Phổ Tai,Mực lá,200g
Salad Mực Phổ Tai,Phổ tai khô,30g
Salad Mực Phổ Tai,Dưa leo,2 trái
Salad Mực Phổ Tai,Cần tây,50g
Salad Mực Phổ Tai,Cà rốt,50g
Salad Mực Phổ Tai,Mè trắng rang thơm.,1M
Salad Mực Phổ Tai,Ớt sừng cắt sợi,1 Trái
Salad Mực Phổ Tai,RAU NÊM,húng lủi
Salad Mực Phổ Tai,Gia vị,"Nước hành tỏi, đường tiêu, tương ớt sa tế, bột ngọt, giấm, nước tương"
Bánh Rán Trứng Phô Mai,Phô mai lát,2 lát
Bánh Rán Trứng Phô Mai,Trứng gà,3 quả
Bánh Rán Trứng Phô Mai,Hành tây,30g
Bánh Rán Trứng Phô Mai,Nấm rơm,30g
Bánh Rán Trứng Phô Mai,Ngò rí,1 nhánh
Bánh Rán Trứng Phô Mai,Xà lách,
Bánh Rán Trứng Phô Mai,Gia vị,"dầu ăn, tiêu, tương cà"
Rau Củ Xào Đậu Hũ Xốt Mè,Bông cải trắng,150g
Rau Củ Xào Đậu Hũ Xốt Mè,Bí đỏ,100g
Rau Củ Xào Đậu Hũ Xốt Mè,Ớt sừng,1 trái
Rau Củ Xào Đậu Hũ Xốt Mè,"Ớt chuông xanh, vàng",50g
Rau Củ Xào Đậu Hũ Xốt Mè,Bí ngòi xanh,50g
Rau Củ Xào Đậu Hũ Xốt Mè,Đậu hũ,100g
Rau Củ Xào Đậu Hũ Xốt Mè,Cà chua bi,50g (chọn trái vừa nhỏ)
Rau Củ Xào Đậu Hũ Xốt Mè,Boaro,1 cây
Rau Củ Xào Đậu Hũ Xốt Mè,Gia vị,"dầu ăn, đường, mè trắng rang"
Salad Mùa Hè,Táo đỏ,1 quả
Salad Mùa Hè,Nho xanh,10 quả
Salad Mùa Hè,Nho đỏ,10 quả
Salad Mùa Hè,Dưa lưới vàng,1/4 quả
Salad Mùa Hè,Dâu tây,10 quả
Salad Mùa Hè,Hạt óc chó,10 hạt
Salad Mùa Hè,Mù tạc nguyên hạt,2M
Salad Mùa Hè,RAU NÊM,Húng lủi
Salad Mùa Hè,Gia vị,"Muối, 2M mật ong"
Lẩu Bò Chua Cay,Bắp bò hoa loại ăn tái,200g
Lẩu Bò Chua Cay,Khăn lông bò,300g
Lẩu Bò Chua Cay,Gân bò lạng (Lấy ra từ thăn phi lê bò),200g
Lẩu Bò Chua Cay,Sả cây,3 cây
Lẩu Bò Chua Cay,Hành tím+ tỏi củ,100g
Lẩu Bò Chua Cay,Ớt hiểm trái khô (loại màu đỏ đẹp),10 trái
Lẩu Bò Chua Cay,Thơm,1/2 trái
Lẩu Bò Chua Cay,Nấm rơm,100g
Lẩu Bò Chua Cay,Nước,1.5l
Lẩu Bò Chua Cay,RAU NÊM,"Ngò gai, rau quế, cắt khúc."
Lẩu Bò Chua Cay,Gia vị,"Dầu ăn, nước mắm, bột canh 1m, màu dầu điều 1M. tương cà 1M."
Cá Trứng Chấm Tương Me,Cá trứng Nhật,250G
Cá Trứng Chấm Tương Me,Tương ớt Hàn quốc,1M
Cá Trứng Chấm Tương Me,Bơ đậu phộng,1M
Cá Trứng Chấm Tương Me,Tỏi băm,1m
Cá Trứng Chấm Tương Me,Me vắt,1M (Ngâm mềm lược lấy nước)
Cá Trứng Chấm Tương Me,Sả băm,1m (Lấy phần lõi non băm)
Cá Trứng Chấm Tương Me,Tắc,1 quả
Cá Trứng Chấm Tương Me,Lõi sả,1 cây
Cá Trứng Chấm Tương Me,Gia vị,"Dầu ăn, đường, nước mắm"
Mì Căn Kho Nấm – Cháo Lá Dứa,Mì căn,4 cây
Mì Căn Kho Nấm – Cháo Lá Dứa,Nấm rơm búp,200g
Mì Căn Kho Nấm – Cháo Lá Dứa,Gạo mới,1 chén nhỏ
Mì Căn Kho Nấm – Cháo Lá Dứa,Nếp mới,1/4 chén
Mì Căn Kho Nấm – Cháo Lá Dứa,Nước dừa tươi,1 chén (nửa trái)
Mì Căn Kho Nấm – Cháo Lá Dứa,Poa rô,1 cây
Mì Căn Kho Nấm – Cháo Lá Dứa,Lá dứa loại nhỏ,2 cây
Mì Căn Kho Nấm – Cháo Lá Dứa,Tiêu xanh,2 nhánh
Mì Căn Kho Nấm – Cháo Lá Dứa,Gia vị,"Dầu hào chay, tiêu sọ xay, đường, dầu ăn, ớt hiểm xanh đỏ, ớt sừng băm"
Mướp Xào Đậu Phộng,Mướp hương,300g
Mướp Xào Đậu Phộng,Bí đỏ baby/ Bí đỏ Nhật,150g
Mướp Xào Đậu Phộng,Đậu phộng vỏ đỏ khô (miền bắc),100g
Mướp Xào Đậu Phộng,Boa rô,30g
Mướp Xào Đậu Phộng,Ngò rí,20g
Mướp Xào Đậu Phộng,Chả chay chiên,2 miếng
Mướp Xào Đậu Phộng,Ớt sừng,1 trái
Mướp Xào Đậu Phộng,Gia vị,"tiêu, dầu ăn"
Trà Sữa Hạt É Sương Sâm,Kem whipping,100ml
Trà Sữa Hạt É Sương Sâm,Hạt é,2M
Trà Sữa Hạt É Sương Sâm,Sương sâm,4M (2 chén)
Trà Sữa Hạt É Sương Sâm,Phô mai đầu bò,1 miếng
Trà Sữa Hạt É Sương Sâm,Đá bi,2 ly
Trà Sữa Hạt É Sương Sâm,Gia vị,"Đường bột 1m, muối"
Bánh Mì Kẹp Cá Chiên Xù,Bánh mì,4 ổ
Bánh Mì Kẹp Cá Chiên Xù,Cá basa phi lê,200g
Bánh Mì Kẹp Cá Chiên Xù,Hành tây,1/2 củ
Bánh Mì Kẹp Cá Chiên Xù,Dưa leo,1 trái
Bánh Mì Kẹp Cá Chiên Xù,Xà lách,1 cây
Bánh Mì Kẹp Cá Chiên Xù,Trứng gà,1 quả
Bánh Mì Kẹp Cá Chiên Xù,"Cà rốt, củ cải ngâm chua",50g
Bánh Mì Kẹp Cá Chiên Xù,Chanh,
Bánh Mì Kẹp Cá Chiên Xù,Gia vị,"Dầu ăn, bột mì, bột xù, ngò rí, tiêu, tương ớt, ớt bột vẩy"
Cá Hồi Nướng Tắc Mật Ong,Fillet cá hồi lóc bỏ da,400g
Cá Hồi Nướng Tắc Mật Ong,Thơm cắt lát,4 lát
Cá Hồi Nướng Tắc Mật Ong,Măng tây,8 cây
Cá Hồi Nướng Tắc Mật Ong,Nước tắc,2M
Cá Hồi Nướng Tắc Mật Ong,Vỏ tắc chín băm,1M
Cá Hồi Nướng Tắc Mật Ong,Ớt băm,1m
Cá Hồi Nướng Tắc Mật Ong,Mật ong,1M
Cá Hồi Nướng Tắc Mật Ong,Tiêu xanh,2 nhánh
Cá Hồi Nướng Tắc Mật Ong,Gia vị,"tiêu, muối, dầu hào, tỏi băm, dầu ăn, đường"
Dồi Ốc Lá Chúc,Thịt ốc bưu,200g
Dồi Ốc Lá Chúc,Lòng non (cắt bỏ phần cuống),150g
Dồi Ốc Lá Chúc,Giò sống,100g
Dồi Ốc Lá Chúc,Mỡ gáy cắt hạt lựu,50g
Dồi Ốc Lá Chúc,Sả bằm nhuyễn,2M
Dồi Ốc Lá Chúc,Lá chúc cắt sợi nhuyễn,1M
Dồi Ốc Lá Chúc,Lá chúc nguyên lá,2 lá
Dồi Ốc Lá Chúc,Hành tím phi,2M
Dồi Ốc Lá Chúc,Tiêu xanh,20g
Dồi Ốc Lá Chúc,Cọng ngò rí cắt nhuyễn,1M
Dồi Ốc Lá Chúc,Hành tím củ nhỏ + tỏi củ nhỏ,20g
Dồi Ốc Lá Chúc,Ớt xiêm xanh,3 trái
Dồi Ốc Lá Chúc,Nước tắc,2M
Dồi Ốc Lá Chúc,Sả,2 nhánh
Dồi Ốc Lá Chúc,Ớt sừng băm,1M
Dồi Ốc Lá Chúc,Gia vị,"Dầu ăn, đường, nước mắm, tiêu đen"
Măng Tây Xào Tôm Mực,Măng tây xanh,200g
Măng Tây Xào Tôm Mực,Mực lá,150g
Măng Tây Xào Tôm Mực,Tôm đông lạnh,150g
Măng Tây Xào Tôm Mực,Bắp non (nhỏ đều),100g
Măng Tây Xào Tôm Mực,Ớt Đà Lạt vàng đỏ,100g
Măng Tây Xào Tôm Mực,Hành tây,1/2 củ
Măng Tây Xào Tôm Mực,RAU NÊM,"Ngò rí, ớt sừng cắt sợi"
Măng Tây Xào Tôm Mực,Gia vị,"Muối, tiêu, dầu ăn, dầu hào, nước tương, ớt, hành tỏi băm, bột năng, giấm gạo"
Lươn Kho Cà Tím,Lươn,300g
Lươn Kho Cà Tím,Cà Tím giống Nhật,150g
Lươn Kho Cà Tím,Nghệ tươi cắt lát,1M
Lươn Kho Cà Tím,Lá tía tô,20g
Lươn Kho Cà Tím,Hành tỏi băm,1M
Lươn Kho Cà Tím,Nước nghệ tươi,2M
Lươn Kho Cà Tím,Sả ớt băm,1M
Lươn Kho Cà Tím,Nước cốt me,2M
Lươn Kho Cà Tím,Gia vị,"dầu ăn, đường, nước mắm, nước lọc"
Lươn Kho Cà Tím,Bột gia vị đa năng cao cấp AJI-NO-MOTO® UP / bột ngọt AJI-NO-MOTO®,
Canh Gà Lá Me Non,Gà ta,1/2 con 500g
Canh Gà Lá Me Non,Lá me non,100g
Canh Gà Lá Me Non,Nước dùng,"1,5 lít"
Canh Gà Lá Me Non,Cà chua bi,50g
Canh Gà Lá Me Non,Ngó sen,100g
Canh Gà Lá Me Non,Sả cây,3 cây
Canh Gà Lá Me Non,RAU NÊM,"Ngò gai, rau om, ớt sừng, ớt hiểm"
Canh Gà Lá Me Non,Gia vị,"Đường, nước mắm, dầu ăn, tỏi phi dầu."
Salad Bắp Tôm,Bắp Mỹ,1/2 trái
Salad Bắp Tôm,Tôm sú bóc vỏ bỏ đuôi,150g
Salad Bắp Tôm,Dưa leo,1 trái
Salad Bắp Tôm,Cần tây,50g
Salad Bắp Tôm,Cà chua,1 trái
Salad Bắp Tôm,Hành tây,1/2 củ
Salad Bắp Tôm,Nước chanh,2M
Salad Bắp Tôm,Bánh tráng mè đen nướng,1 cái
Salad Bắp Tôm,Mù tạt hạt,1/2M
Salad Bắp Tôm,RAU NÊM,"Ngò cắt khúc, húng lủi cắt khúc."
Salad Bắp Tôm,Gia vị,"Mật ong, muối, dầu ô liu, tiêu"
Chân Gà Tiềm Đậu Đen,Chân gà,6 cái
Chân Gà Tiềm Đậu Đen,Đậu đen,2M ( 40gm )
Chân Gà Tiềm Đậu Đen,Củ sen già,1 khúc 10cm
Chân Gà Tiềm Đậu Đen,Cà rốt,1/4 củ
Chân Gà Tiềm Đậu Đen,Gừng lát,2mm 2 lát
Chân Gà Tiềm Đậu Đen,Tỏi nguyên tép còn vỏ,4 tép
Chân Gà Tiềm Đậu Đen,Tiêu đen,1/2m
Chân Gà Tiềm Đậu Đen,Hoa hồi,2 hoa
Chân Gà Tiềm Đậu Đen,RAU NÊM,Ngò rí
Chân Gà Tiềm Đậu Đen,Gia vị,"Muối, đường, rượu trắng 1m"
Sandwich Nướng Trứng Xốt Mayonnaise,Bánh mì sandwich lạt,4 lát
Sandwich Nướng Trứng Xốt Mayonnaise,Ba rọi xông khói,100g
Sandwich Nướng Trứng Xốt Mayonnaise,Hành tây,1/2 củ
Sandwich Nướng Trứng Xốt Mayonnaise,Ớt chuông đỏ,1/2 quả
Sandwich Nướng Trứng Xốt Mayonnaise,Hành lá,1 nhánh
Sandwich Nướng Trứng Xốt Mayonnaise,Trứng gà,3 quả
Sandwich Nướng Trứng Xốt Mayonnaise,Hương thảo,1 nhánh
Sandwich Nướng Trứng Xốt Mayonnaise,Gia vị,"bơ lạt, tiêu, tương cà"
Hoành Thánh Bắp Chiên,Thịt heo xay,100g
Hoành Thánh Bắp Chiên,Giò sống,100g
Hoành Thánh Bắp Chiên,Bắp Mỹ,50g
Hoành Thánh Bắp Chiên,Đậu Hà Lan,30g
Hoành Thánh Bắp Chiên,Củ sắn,30g
Hoành Thánh Bắp Chiên,Đầu hành lá băm,2M
Hoành Thánh Bắp Chiên,Trứng gà,1 trứng
Hoành Thánh Bắp Chiên,Lá hoành thánh,200g
Hoành Thánh Bắp Chiên,Bột năng,1M
Hoành Thánh Bắp Chiên,Gia vị,"tiêu, dầu ăn, dầu mè"
Bún Quậy,Tôm tươi nguyên vỏ,300g
Bún Quậy,Chả cá thác lác,150g
Bún Quậy,Mực ống,4 con
Bún Quậy,Sả cây,2 cây
