name,description,cook_time,level,servings,instructions,image_path
Canh Đầu Cá Bớp,"Đầu cá bớp tươi ngon, nước canh thì hấp dẫn với vị lẩu thái chua chua cay cay – hòa với vị chát nhẹ của chuối, giòn ngọt của khóm thật đã miệng, ăn cùng bún hay cơm là tuyệt cú mèo luôn. Thử sức với món Canh Đầu Cá Bớp hôm nay, các bạn có thể chiêu đãi cả gia đình để đổi vị mới lạ nhé",15,Dễ,4,"Đầu cá bớp rửa sạch, để ráo, cắt miếng vừa ăn. Khuấy đều 2M dầu tỏi với 1/2 gói Gia vị nêm sẵn Aji-Quick® Lẩu Thái cho đầu cá bớp vào trộn đều để 10 phút, cho thấm gia vị.
Cà chua cắt làm tư. Khóm cắt hình rẽ quạt. Chuối chát cắt lát tròn dày 0.5cm, ngâm với nước ngâm chút chanh. Đầu hành lá đập dập, cắt khúc. Ớt đập dập 3 trái.
Làm nóng dầu tỏi cho hành tím bào, đầu hành lá, ớt tươi và cà chua vào xào thơm. Cho tiếp đầu cá vào đảo nhanh tay, thêm 1.5L nước vào nấu sôi, vớt bọt. Nêm 1/2 gói Gia vị nêm sẵn Aji-Quick® Lẩu Thái còn lại vào khuấy đều, cho chuối chát, khóm vào nấu 10 phút với lửa vừa cho cá chín, tắt lửa. Thêm 1/2M nước mắm khuấy đều cùng rau răm, ngò gai, rau om, thơm vào.
Múc canh ra tô, cho tỏi phi lên trên, dùng nóng kèm bún, nước mắm và ớt cắt lát.
Món ăn ngon đi kèm: Canh đầu cá bớp",recipe_images/Canh_đầu_cá_bớp.jpg
Salad Cầu Vồng Ngày Hè,"Rau củ tươi giòn, bơ dẻo bùi, còn bưởi thì chua ngọt, quyện cùng xốt Mayonnaise Aji-mayo beo béo, hòa với những lát thịt xá xíu đậm đà và mực thơm mùi sả. Ăn tới đâu, đã thèm tới đó. Một sự kết hợp ăn ý quá tuyệt vời từ các loại trái cây mùa hè và rau củ cơ bản. Thử ngay nha các bạn!",10,Dễ,4,"Mực ống làm sạch, cắt khoanh, hấp chín với ít sả cây, gừng, lấy ra để nguội. Xá xíu cắt sợi.
Bưởi tách miếng khoảng 2cm. Bơ cắt lát. Cà chua bi chẻ đôi. Dưa leo cắt làm đôi, bỏ hạt, cắt lát. Xếp các loại rau ra dĩa, để tủ mát.
Chanh vàng mài vỏ để riêng, vắt lấy nước cốt. Ớt sừng cắt sợi.
Pha nước trộn salad: Trộn đều 3M nước chanh, 2M đường, 1m muối, 1M vỏ chanh và 2M dầu olive.
Trộn sauce vào rau với 1/2 lượng vỏ chanh mài. Rưới lên trên 2M Xốt Mayonnaise Aji-mayo® Ngọt Dịu, thêm mực, xá xíu, bày thêm rau mầm, húng lủi, ớt, 1/2 lượng vỏ chanh mài còn lại và rắc hạt thông lên.
Món ăn ngon đi kèm: Canh bóng cuộn bí ngòi",recipe_images/Salad_cầu_vồng_ngày_hè.jpg
Nui Xào Chay Thập Cẩm,"Từng miếng nui xào thấm vị, xen lẫn sợ mì căn dai dai, cùng đậu hũ chiên bùi bùi, chín tới, rau củ ngọt giòn. Thật là một món chay vừa ngon vừa tốt cho sức khỏe! Có công vào bếp, có ngày nên bữa cỗ ngon, lại có bí kíp MNMN trong tay thì sợ gì không vào bếp trổ tài ngay thôi!",15,Dễ,4,"Đậu hũ cắt sợi, ướp 1/3m hạt nêm Aji-Ngon Nấm Hương & Hạt Sen, để thấm, chiên giòn.
Mì căn cắt bản dọc rồi cắt xéo, chiên sơ. Cần tây lấy cọng, cắt xéo. Ớt chuông cắt hình thoi. Cà chua, bỏ hạt, cắt hình thoi. Nấm đông cô cắt mỏng. Hành boaro cắt xéo mỏng. Ngò rí cắt nhỏ.
Đun sôi 1 lít nước, nêm vào 1/2m muối, cho nui vào luộc khoảng 10 phút đến khi nui chín vừa mềm, vớt ra xả nước lạnh cho nguội rồi để ráo.
Phi hành boaro với 3M dầu ăn.
Gia vị xào nui: Khuấy tan 1M Nước tương “Phú Sĩ” với 2m Hạt nêm Aji-ngon® Nấm, 1.5m đường, 1/2m Bột ngọt AJI-NO-MOTO®, 1M tương cà, 2M tương cà ketchup, 1M dầu boaro phi và 1M tương ớt.
Làm nóng dầu ăn, xào săn mì căn, nấm, cà chua và đậu hũ chiên, tiếp tục cho cần tây và nui vào đảo đều, cho hỗn hợp gia vị vào xóc đều, cuối cùng thêm ớt chuông vào xào vừa chín thì tắt lửa. Thêm 1m dầu mè.
Cho nui xào thập cẩm ra dĩa, thêm boaro phi và ngò rí lên trên, rắc thêm tiêu, dùng nóng.
Món ăn ngon đi kèm: Bánh rán trái cây",recipe_images/Nui_xào_chay_thập_cẩm.jpg
Đậu Cove Xào Tim Gan,"Món xào nóng hổi, thơm lừng mùi nước tương “Phú Sĩ”, phần tim và gan heo bùi bùi mọng nước, đậu cove và rau củ thì giòn mát, màu sắc rực rỡ cực ngon mắt. Đúng chuẩn món xào tươi ngon gọn lẹ.",15,Dễ,4,"Tim và gan heo cắt lát bản to, ướp 1M hành tỏi băm, 1/2m tiêu, 1M Nước tương “Phú Sĩ”, 1m bột năng, 1M dầu hào. Để thấm 10 phút. Trước khi xào trộn thêm 1m bột năng khô.
Đậu cove cắt khúc 5cm. Ớt chuông cắt sợi. Thơm cắt sợi. Hành tím cắt rễ quạt nhỏ. Hành lá, ngò rí cắt nhỏ.
Phi thơm 1M hành tỏi băm với 2M dầu ăn, cho tim gan vào xào chín tới với lửa lớn, thêm hành tây tím, trút ra.
Tiếp tục đun nóng dầu ăn, xào ớt chuông, đậu cove, thơm nêm 1m Hạt nêm Aji-ngon® Heo, 1/2M Nước tương “Phú Sĩ”, 1m đường. Khi rau củ vừa chín tới. Cho tim gan trở lại chảo xốc chung, tắt lửa ngay.
Dọn nóng ra dĩa, rắc tiêu, hành ngò, khi ăn chấm nước tương và ớt. Dùng nóng với cơm.
Món ăn ngon đi kèm: Canh cua đồng rong biển",recipe_images/Đậu_cove_xào_tim_gan.jpg
Pancake Sushi,"Bánh có độ xốp, mềm mịn, beo béo, thơm phô mai, vị đậm đà của xúc xích, chà bông. Pancake sushi, vừa ngon, vừa chế biến nhanh, lại còn bổ dưỡng nữa chứ. Còn chờ gì mà chưa xắn tay vào bếp thử nào!",15,Dễ,2,"Chà bông cắt nhuyễn.
Cho 1 gói Bột bánh rán pha sẵn – Bữa sáng dinh dưỡng vào tô, pha với nước theo tỷ lệ hướng dẫn trên bao bì.
Đặt chảo không dính lên bếp đun nóng chảo, sau đó hạ nhiệt chảo trên khăn ướt. Tiếp theo đổ bánh vào giữa chảo. Khi bánh se mặt, lật bánh lại để bánh chín.
Lấy bánh ra đĩa, xếp phô mai, xúc xích, chà bông lên trên rồi cuộn tròn bánh lại. Lần lượt đổ bánh cho hết bột.
Cắt bánh ra từng khoanh, trang trí lá húng lủi. Khi ăn chấm xốt Mayonnaise Aji-Mayo® trộn tương cà (Tỷ lệ 2:1).
Món ăn ngon đi kèm: Trà sữa trân châu đường đen",recipe_images/Pancake_sushi.jpg
Canh Gà Nấm Mỡ,"Thịt gà béo mềm, tôm tươi ngọt và nấm mỡ dai thơm đắm mình trong nước canh đậm đà. Úi chà, húp một miếng canh mà dư vị thanh thanh đọng lại cứ làm ta nhớ mãi! Chắc chắn món ăn này sẽ kích thích sự thèm ăn của bạn.",15,Dễ,4,"Thịt gà rút xương, ướp thịt gà với 1m Hạt nêm Aji-ngon® Gà, tiêu. Để thấm 5 phút. Tiếp theo cho 1 lớp giò sống lên mặt trong má đùi gà, đặt 1 con tôm vào giữa. Xong cuộn tròn lại dùng cọng hành lá quấn tròn lại.
Nấm mỡ cắt lát 5mm. Cà rốt tỉa hoa, cắt dày 2mm. Hành tây tím cắt hình thoi. Hành lá, ngò rí cắt nhỏ.
Đun sôi 1.2 lít nước, nêm 1M Hạt nêm Aji-ngon® Gà, nấu chín cuốn gà, vớt ra để nguội, cắt khoanh dày 2 cm.
Tiếp tục cho cà rốt, nấm mỡ vào nước canh nấu chín, cho hành tây vào, nêm 1/2M nước mắm. Tắt lửa.
Múc canh ra tô. Cho gà cuộn vào, thêm hành ngò, rắc ít tiêu. Dùng nóng với cơm trắng và nước mắm.
Món ăn ngon đi kèm: Ngồng cải xào bao tử cá basa",recipe_images/Canh_gà_nấm_mỡ.jpg
Cơm Chiên Thập Cẩm,"Hạt cơm chín săn, rau củ quả ngọt giòn, chả lụa dai dai, đậu hũ béo bùi và tàu hũ ky giòn giòn. Vị hài hoà vừa ăn cho một món chay hoàn hảo. Món chay đổi vị nhất định sẽ là lựa chọn thú vị cho cuối tuần của cả gia đình đây!",10,Dễ,4,"Nấm rơm cắt hạt lựu. Nấm hương ngâm nở, cắt hạt lựu.
Đậu Hà Lan luộc chín. Củ cải muối ngâm nước sau đó cắt ngắn 1cm. Cà rốt cắt hạt lựu, luộc chín.  Bắp Mỹ luộc chín, tách hạt.
Đậu hũ cắt lát mỏng, chiên vàng, sau đó cắt hạt lựu. Tàu hũ ky cắt sợi, chiên nở.
Chả lụa chay, cần tây cắt hạt lựu. Boaro cắt nhỏ, để riêng cọng và lá.
Phi thơm 1/2 lượng boaro với 2M dầu ăn, xào các nguyên liệu rau củ như cà rốt, củ cải muối, đậu Hà Lan, nấm hương, nấm rơm, cần tây, đậu hủ chiên, nêm 1/2M Nước tương “Phú Sĩ”, 1/2m hạt Hạt nêm Aji-ngon® Nấm Hương & Hạt Sen, 1m đường, cho chả lụa chay vào đảo dều, múc ra.
Tiếp tục phi thơm lượng boaro còn lại với 2M dầu ăn, cho cơm vào rang, nêm 1/2M Nước tương “Phú Sĩ”, 1/2m Hạt nêm Aji-ngon® Nấm Hương và Hạt Sen, xong trộn lại với phần rau củ, thêm lá boaro và 1m dầu mè. Tắt lửa.
Múc cơm chiên ra niêu đất (sứ), cho tàu hũ ky chiên, ngò rí lên trên, rắc ít tiêu, dọn kèm nước tương và ớt hiểm xanh đỏ.
Món ăn ngon đi kèm: Gỏi nấm rau mầm",recipe_images/Cơm_chiên_thập_cẩm.jpg
Gỏi Cóc Tai Heo,"Vị giòn ngọt sựt sựt của tai heo kết hợp với vị chua chua của cóc, thêm chút bùi bùi từ bánh tráng mè; kèm với nước chấm chua chua ngọt ngọt thiệt bắt vị! Một món ăn chơi hấp dẫn từ nguyên liệu tới cách chế biến, còn chờ chi mà không thử làm tại nhà nhỉ?",10,Dễ,4,"Cóc xanh bào lát mỏng, trộn với 1M đường và 1/3m muối.
Tai heo làm sạch, luộc trong nước có hành tím đập dập, 1M nước mắm, 1m muối, 1m Bột ngọt AJI-NO-MOTO®, luộc chín vớt ra, xả qua nước, sau đó ngâm vào tô nước lạnh có pha 1M Giấm gạo lên men Ajinomoto, để 10 phút, vớt ra để ráo nước, cắt mỏng.
Bánh tráng bẻ miếng vừa. Cà rốt tỉa hoa, cắt lát mỏng. Hành tím đập dập.
Khuấy nước mắm trộn: Khuấy đều 3M đường thốt nốt, 2M nước mắm, 1.5M Giấm gạo lên men Ajinomoto và tỏi ớt băm.
Cho tai heo, cà rốt, cóc xanh và 1/2 lượng  nước mắm vào trộn đều để 10 phút cho các nguyên liệu thấm,  sau đó cho tiếp củ sen, bánh tráng mè nướng, rau quế và phần nước mắm trộn còn lại vào trộn đều lại lần nữa, thêm hành phi.
Gắp gỏi ra dĩa, cho mè rang lên trên dùng kèm bánh tráng mè nướng.
Món ăn ngon đi kèm: Bò nấu pate tiêu xanh",recipe_images/Gỏi_cóc_tai_heo.jpg
Cồi Sò Điệp Xào Hoa Thiên Lý,"Cồi sò điệp dai ngọt hòa cùng bông thiên lý giòn giòn tươi mát, chấm cùng nước tương chua chua ngọt ngọt, đúng là “ngon ngất ngây!” Món vừa ngon vừa bổ thế này, đợi gì mà không thử ngay thôi nào!",15,Dễ,4,"Áp chảo cồi sò điệp với lửa lớn với dầu ăn, lật cồi điệp lại rồi cho 1/2M tỏi băm, 1/2M dầu hào và 1m rượu trắng, cho cồi sò điệp chín vừa vàng 2 mặt, trút ra đĩa.
Cà rốt, ớt sừng cắt hình thoi.
Phi thơm 1M tỏi băm với 1M dầu ăn, cho cà rốt vào xào, tiếp theo xào hoa thiên lý, rồi cho hoa điên điển, giá vào xào sơ cùng với 1m Hạt nêm Aji-ngon® Heo, 1m Bột ngọt AJI-NO-MOTO® và 1 ít tiêu, xào cho rau chín vừa. Cuối cùng cho cồi sò điệp vào đảo đều, tắt lửa.
Pha nước tương chấm: khuấy đều 2M Nước tương “Phú Sĩ” với 2m đường, 1M nước chanh, 1m tỏi băm và ớt hiểm cắt lát.
Cho cồi sò điệp xào hoa thiên lý ra dĩa trang trí thêm ớt sừng cắt sợi, khi dùng chấm nước tương đã pha.
Món ăn ngon đi kèm: Canh rong biển hạt sen",recipe_images/Cồi_sò_điệp_xào_hoa_thiên_lý.jpg
Lưỡi Heo Trộn Kiệu Chua,"Từng miếng lưỡi heo chín mềm, thấm đẫm vị chua cay cân đối, ăn kèm với rau củ tươi thì còn gì bằng. Vừa đã miệng đưa cơm, lại thêm bổ dưỡng nhuận da khiến ai ai cũng phải xuýt xoa, quá đã. Mau mau vào bếp làm một đĩa lai rai nào!!",15,Dễ,4,"Lưỡi heo trụng qua nước sôi, cạo sạch màng trắng, rửa sạch, xẻ dọc ướp gia vị gồm 1M hành tỏi băm, 1m muối, 1M đường, 1M Nước tương “Phú Sĩ”. Để thấm 20 phút.
Kiệu chua cắt đôi. Ngó sen, cà rốt, dưa leo cắt sợi dài 5cm. Sả cây khắc khúc.
Phi thơm sả với 2M dầu ăn, áp chảo lưỡi heo cho săn lại, thêm nước dừa, 2M Giấm gạo lên men Ajinomoto, đậy vung om chín đến khi cạn nước, đem ra để nguội cắt lát mỏng.
Pha nước trộn gỏi: Trộn đều 2M đường, 1m muối, 4M nước chanh, 1m tỏi ớt băm.
Trộn lưỡi heo với 1M nước trộn gỏi. Trộn tiếp 1/2 lượng nước trộn gỏi với rau củ, vớt ra để ráo nước.
Trộn chung lưỡi heo, rau củ, nước trộn gỏi còn lại cùng 3M Xốt Mayonnaise Aji-mayo®.
Trình bày lưỡi heo trộn kiệu chua ra dĩa, thêm hành phi, rau răm, húng lủi, mè rang và topping bằng Xốt Mayonnaise Aji-mayo®.",recipe_images/Lưỡi_heo_trộn_kiệu_chua.jpg
Pancake Tôm Phô Mai,"Món bánh dinh dưỡng cho bữa sáng hoặc bữa xế của bé. Chất bánh mềm mịn, kẹp cùng sốt tôm tươi và phô mai. Cắn một miếng thật to, cảm nhận phô mai tan chảy, vị béo của tôm quyện trong bánh pancake xốp mềm.",15,Dễ,4,"Tôm bóc vỏ, bỏ chỉ lưng, cắt hạt lựu. Lá quế băm nhỏ.
Ớt chuông, cà chua bỏ hạt, cắt hạt lựu nhỏ. Hành tây, dưa chuột muối cắt hạt lựu nhỏ.
Sốt tôm: Phi thơm tỏi băm với bơ, xào cà chua và hành tây, sau đó cho tôm vào xào săn cùng với ớt chuông, thêm 1/3 chén nước vào đun sôi, nêm 1m Hạt nêm Aji-ngon® Heo, 1/4m tiêu và 1/2m đường, 1M tương cà, cho tiếp 1M lá quế băm nhỏ vào đun cho sánh đặc, tắt lửa, cho dưa chuột muối vào trộn đều.
Pha 1 gói Bột bánh rán pha sẵn – Bữa sáng dinh dưỡng với nước theo hướng dẫn trên bao bì. Làm nóng chảo, sau đó giảm nhiệt độ của chảo bằng cách đặt lên khăn ẩm, cho bột vào tạo hình bánh tròn và rán bánh vàng 2 mặt, lấy bánh ra để nguội, tiếp tục làm đến khi hết bột.
Xếp bánh ra đĩa, cho sốt tôm và phomai lát lên trên sau đó cho lớp bánh thứ 2 lên, topping Xốt Mayonnaise Aji-mayo® Ngọt Dịu, trang trí thêm xà lách, lá quế và cà chua.
Món ăn ngon đi kèm: Trà sữa hoa đậu biếc",recipe_images/Pancake_tôm_phô_mai.jpg
Mẹt Hải Sản Chấm Muối Ngò Gai,"Ngũ đại hải sản hội tụ đầy đủ trong chiếc mẹt ngon lành sẵn sàng chinh phục vị giác của bạn đây!!! Hải sản để chín vừa để săn giòn, đừng nên để quá lâu gây cháy khét. Chấm nước sốt ngò gai lạ miệng. Vào bếp nấu ngay món biển này thôi!",15,Dễ,4,"Hòa 1M Bột Canh Ajinomoto với 1 lít nước và nước 2 quả tắc. Cho tôm, càng ghẹ, cá, bạch tuộc vào ngâm riêng biệt 30 phút, lấy ra để ráo.
Tôm sú xiên thẳng. Cá nục lụi sả.
Nướng chín các loại hải sản trên than hoa hoặc lò nướng nhiệt độ 250°C. Cho mỡ hành, đậu phộng lên sò lông.
Nước chấm: Xay chung các loai rau thơm với sữa đặc, 1M bột canh Ajinomoto, nước cốt 2 trái tắc, 5M dầu ăn, 1m đường, 1/2m Bột ngọt AJI-NO-MOTO®.
Bày hải sản ra mẹt tre lót lá chuối cùng với rau răm, đồ chua. Chấm với nước chấm khi thưởng thức.
Món ăn ngon đi kèm: Salad bò dưa kiệu",recipe_images/Mẹt_hải_sản_chấm_muối_ngò_gai.jpg
Chả Giò Cá Chẽm,"Chả giò nhân nấm cá chẽm giòn rụm vỏ bánh tráng, nhân dai dai thịt cá trộn nấm thơm. Chấm chút xốt mayonnaise Aji-mayo® quyện tương ớt là ‘đúng bài’ nha!  Vào bếp ngay thôi!",20,Dễ,4,"Cá chẽm cắt hình con chì, ướp 1/2m Hạt nêm Aji-ngon® Heo, 1/3m Bột ngọt AJI-NO-MOTO® và 1m Giấm gạo lên men Ajinomoto, 1 ít tiêu, 1M ớt sợi và 1m gừng cắt sợi. Để thấm.
Nấm đông cô cắt lát mỏng, ướp 1m giấm gạo lên men Ajinomoto với nấm kim châm và nấm đông cô.
Trứng gà đánh tan.
Cuốn chả giò : Trải bánh tráng bò bía, lần lượt xếp cá chẽm, nấm các loại, ớt sừng và gừng sợi, cuốn lại, dùng trứng gà đánh tan dán mí.
Đun nóng dầu ăn, chiên chả giò chín vàng, vớt ra để ráo dầu.
Pha xốt chấm: Trộn đều Xốt mayonnaise Aji-mayo® với tương ớt theo tỷ lệ 2:1.
Xếp chả giò ra dĩa. Ăn nóng cùng xà lách, rau thơm và dưa leo, chấm xốt đã pha.
Món ăn ngon đi kèm: Cơm tím gà khìa",recipe_images/Chả_giò_cá_chẽm.jpg
Bún Bò Gân,"Khi có nhiều thời gian như dịp cuối tuần, đãi cả gia đình một món hoành tráng như ‘Bún bò gân’ thì sao nào các mẹ ơi! Gân bò chín mềm nhưng vẫn giòn sần sật, ngập trong nước dùng bún bò đặc trưng màu nâu nhạt.",30,Dễ,4,"Bắp bò quấn chỉ định hình. Trụng bắp bò và gân bò trong nước sôi có gừng. Sau đó vớt ra, gân bò cắt khúc vừa ăn, khoảng 4cm. Ướp với 1M Gia vị nêm sẵn Aji-Quick® Bún Bò Huế.
Sả cây đập dập, bó lại. Chần sơ bún. Rau răm cắt rối. Hành tây cắt lát mỏng.
Đun sôi 3 lít nước, cho bắp bò vào nấu khoảng 15 phút thì cho tiếp gân bò, sả nêm 2 gói Gia vị nêm sẵn Aji-Quick® Bún Bò Huế, đậy vung nấu cho thịt mềm, vớt bắp bò ra cắt lát.
Cho bún vào tô, xếp thịt và gân bò lên trên, thêm hành tây, rau răm cắt rối, chang nước dùng.
Dùng nóng, dọn kèm với dĩa rau giá các loại, hành tím ngâm giấm, ớt, sa tế, chanh, nước mắm.",recipe_images/Bún_bò_gân.jpg
Rau Củ Xào Xốt Chay,"Món rau củ xào với xốt dậy mùi thơm từ hành boaro và kiệu chua, thêm vị đậm đà của xá bấu. Chuẩn món chay với đủ đầy hương vị thanh tịnh cho tâm an yên.",15,Dễ,4,"Hành boaro cát lát mỏng. Dưa kiệu băm nhỏ. Xá bấu cắt nhỏ.
Chần sơ các loại rau củ.
Bột năng pha loãng với nước.
Làm xốt xào: Xào thơm boaro, dưa kiệu, xá bấu. Cho 1 lít nước dừa vào, thêm 2M Hạt nêm Aji-ngon® Nấm Hương và Hạt Sen, 1M Bột Canh Ajinomoto, 2M đường, 4M Nước tương “Phú Sĩ”, 2M dầu hào chay nấu nhỏ lửa 5 phút, cho bột năng pha loãng vào làm sệt xốt. Tắt lửa cho 2M dầu mè vào khuấy đều.
Xào rau: Làm nóng dầu ăn, xào rau củ luộc với 200g xốt xào, xóc đều, tắt lửa.
Cho rau củ xào ra dĩa, rắc ngò và tiêu lên trên, dùng nóng.
Món ăn ngon đi kèm: Bí ngòi hấp chả chay",recipe_images/Rau_củ_xào_xốt_chay.jpg
Cháo Hạt Sen Nấu Bò Viên,"Món cháo bổ dưỡng từ bò viên chất lượng nhà làm, hạt sen bùi bổ, cùng rau củ giàu vitamin. Xứng đáng là loại ‘thính đậm đặc’ bồi bổ sức khỏe cho người ấy, ba mẹ hay chính mình. Cùng vào bếp nấu cháo ăn cho khỏe rồi xem tiếp các video khác của Món Ngon Mỗi Ngày, cả nhà nhé!",30,Dễ,4,"Gạo vo sạch, rang thơm, nấu cháo với nước dùng đến khi cháo gần nhừ cho hạt sen, cà rốt, nấm đông cô vào nấu, đến khi cháo nhừ.
Nấm đông cô ngâm nở, cắt nhỏ. Cà rốt, hành tây và nấm đông cô tươi cắt hạt lựu. Tiêu xanh đập dập.
Bò viên: Xào mềm hành tây, trộn bò xay, giò sống, nấm đông cô khô, hành tây, 1m tỏi băm, 1m tiêu xanh đập dập, 1m gừng băm, 1/2m Hạt nêm Aji-ngon® Heo và 1m Bột ngọt AJI-NO-MOTO®, để thấm, vo viên tròn.
Cho viên bò vào cháo, nêm 1/2m đường, 1m Hạt nêm Aji-ngon® Heo, 1m Bột ngọt AJI-NO-MOTO®, 1m muối. Tắt lửa.
Múc cháo ra cho ngò rí, hành lá, tiêu, gừng sợi và hành phi. Ăn kèm nước mắm, ớt cắt lát và chanh.
Món ăn ngon đi kèm: Cháo hạt sen nấu bò viên",recipe_images/Cháo_hạt_sen_nấu_bò_viên.jpg
Dê Xào Tía Tô Cà Bát,"Ai đang đau đầu không biết nấu món gì lạ miệng cho bữa cơm nhà mình thì hãy để món ‘Dê xào tía tô cà bát’ giải quyết cho. Thịt dê nướng thơm lừng mùi thịt và tía tô, lá lốt, gói trọn trong trái cà bát. Ăn vào một phát ngấy ngây luôn á. Món này bảo đảm hao cơm nha cả nhà mình ơi!",15,Dễ,4,"Thịt dê cắt lát dày 3mm, ướp 1M Gia vị nêm sẵn Aji-Quick® Lẩu Thái, 1m bột năng pha loãng, để thấm 5 phút.
Cà bát cát ngang đôi khoét bỏ ruột ngâm nước muối. Ớt sừng cắt hình thoi 2cm. Hành tím cắt dọc 1/4. Tía tô, lá lốt cắt sợi bản 5mm.
Đun nóng dầu ăn, chiên ngập dầu cà bát đến khi vừa chín, để ráo.
Phi thơm hành tím, gừng, tỏi ớt với ít dầu ăn, xào săn thịt dê, thêm nước cốt dừa, nấu lửa lớn 2 phút. Cuối cùng cho tía tô, lá lốt vào xốc đều.
Cho thịt xào vào phần cà bát đã khoét, bắt Xốt Mayonnaise Aji-mayo® lên trên, thêm bột xù lên và nướng lửa trên nhiệt độ 200°C khoảng 1 phút.
Bày miếng cà ra đĩa dùng chung với cơm trắng.
Món ăn ngon đi kèm: Gỏi bốn mùa",recipe_images/Dê_xào_tía_tô_cà_bát.jpg
Heo Nướng Hàn Quốc,"Món thịt heo nướng gây thương nhớ như oppa phim Hàn Quốc đến rồi đây. Thịt nướng áp chảo chín vừa, hơi cháy xém thơm lừng, chấm quyện vào nước xốt đặc sệt rồi cuộn với rau, cho thêm lát tỏi là đỉnh chóp. Vào bếp nhanh nào chị em mình ơi!",20,Dễ,4,"Thịt cổ cắt miếng 3mm.
Tỏi băm vắt lấy 2M nước tỏi, phần xác giữ lại. Hành lá cắt nhỏ.
Xốt ướp thịt: Hòa đều 4M Nước tương “Phú Sĩ”, 2m Hạt nêm Aji-ngon® Heo, 1m tiêu đen bể, 1M đường, 2M nước tỏi, 1M nước gừng, hành lá, 2M mè trắng rang và 2M dầu mè.
Ướp thịt với xốt, để thấm 30 phút, nướng áp chảo thịt.
Xốt chấm: Hòa tan 1M đường với 2m Giấm gạo lên men Ajinomoto, 1m Bột ngọt AJI-NO-MOTO®, 3M tương ớt Hàn Quốc, 1M tỏi băm, 2m Nước tương “Phú Sĩ”, 2m dầu mè.
Trình bày thịt ra dĩa. Khi ăn cuốn thịt với xà lách, dưa leo chấm với nước chấm dùng kèm thêm tỏi ớt tùy thích.
Món ăn ngon đi kèm: Canh nghêu kim chi tía tô",recipe_images/Heo_nướng_Hàn_Quốc.jpg
Thịt Bò Nướng Mè Kiểu Hàn Quốc,"Với các món chế biến từ thịt bò, quan trọng nhất miếng thịt bò chín vừa tới, thịt mềm, mọng nước bên trong, thấm gia vị bên ngoài. Và bí kíp ấy gói sẵn trong video ‘Thịt bò nướng mè kiểu Hàn Quốc’, ngại gì không xem nhỉ!",10,Dễ,4,"Cắt thịt bò thành hai lát dính bìa, miếng dầy 3mm, bản to, dần cho thịt mềm.
Mè trắng rang chừa lại 1M, phần còn lại xay nhuyễn. Cà rốt làm sạch vỏ, chừa phần cuống. Bí đỏ làm sạch vỏ, cắt miếng dầy 3mm. Đậu bắp cắt xéo. Tỏi tép lột vỏ.
Xay nhuyễn tỏi, đầu hành, gừng, 2/3 lượng mè rang, với 1M nước tương “Phú Sĩ”, 2m Hạt nêm Aji-ngon® Gà, 1.5M đường, 1M dầu hào, 1M tương ớt Hàn Quốc, 1 trái ớt hiểm băm. Ướp hỗn hợp này vào thịt bò cùng với 2M dầu ăn, 1m dầu mè. Để thấm 10 phút.
Ướp bí đỏ, cà rốt và đậu bắp với 3M dầu oliu, một ít tiêu và muối.
Cho ít dầu ăn vào chảo, áp chảo cà rốt, đậu bắp và bí. Tiếp tục áp chảo thịt bò vừa chín tới, rắc mè lên trên.
Bày thịt ra dĩa, rắc mè rang. Ăn kèm với củ quả áp chảo, lá mè, xà lách.
Món ăn ngon đi kèm: Salad mực ống rong biển",recipe_images/Thịt_bò_nướng_mè_kiểu_Hàn_Quốc.jpg
Gỏi Rau Mầm Tôm Mực,Xin trân trọng giới thiệu 2 vedette đại dương – Tôm và Mực với màn biểu diễn múa sốt mayonnaise trên cánh đồng rau mầm xanh mơn mởn. Ai muốn thưởng thức màn biểu diễn ngon amazing này thì xem ngay video nhé!,10,Dễ,4,"Tôm bóc vỏ, chừa đuôi.
Mực làm sạch, khứa vảy rồng, cắt miếng vừa ăn, ướp 1M tỏi băm, 1/2m Hạt nêm Aji-ngon® Heo, 1/4m tiêu, để thấm.
Cà rốt cắt sợi, ướp 1M đường, vắt ráo. Trộn đều rau mầm và cà rốt.
Đun nóng bơ, áp chảo tôm mực với lửa lớn cho hải sản săn và thơm.
Pha nước trộn gỏi: 2M đường, 2M Giấm gạo lên men Ajinomoto, 1.5M nước mắm, khuấy tan, thêm tỏi ớt băm.
Trình bày salad ra dĩa, xếp hải sản lên trên, rưới nước mắm, cuối cùng topping Xốt Mayonnaise Aji-mayo® Ngọt Dịu. Khi ăn trộn đều.
Món ăn ngon đi kèm: Sườn nướng lá hương thảo",recipe_images/Gỏi_rau_mầm_tôm_mực.jpg
